E I N G A B E T E I L;;;2024;2023;2022;2021;2020
;;Stadtwerke Delmenhorst;EUR;EUR;EUR;EUR;EUR

;;davon mit einer RLZ < 1 Jahr;;0,0;0,0;0,0;0,0;0,0
;3. Erhaltene Anzahlungen;;10.547,5;10.547,5;10.547,5;810.334,6;0,0
;;davon mit einer RLZ < 1 Jahr;;0,0;0,0;0,0;0,0;0,0
;4. Verbindlichkeiten aus Lieferungen und Leistungen;;6.494.780,8;4.782.142,3;7.153.415,8;5.650.136,8;0,0
;;davon mit einer RLZ < 1 Jahr;;0,0;0,0;0,0;0,0;0,0
;5. Verbindlichkeiten aus der Annahme gezogener Wechsel und der Ausstellung eigener Wechsel;;0,0;0,0;0,0;0,0;0,0
;;davon mit einer RLZ < 1 Jahr;;0,0;0,0;0,0;0,0;0,0
;6. Verbindlichkeiten gegenüber verbundenen Unternehmen;;302.741,5;24.038,4;1.613.777,1;1.218.295,5;0,0
;;davon mit einer RLZ < 1 Jahr;;0,0;0,0;0,0;0,0;0,0
;7. Verbindlichkeiten gegenüber Gesellschaftern;;6.261.715,8;3.493.193,0;0,0;0,0;0,0
;;davon mit einer RLZ < 1 Jahr;;0,0;0,0;0,0;0,0;0,0
;8. Verbindlichkeiten gegenüber Unternehmen mit denen ein Beteiligungsverhältnis besteht;;0,0;0,0;0,0;0,0;0,0
;;davon mit einer RLZ < 1 Jahr;;0,0;0,0;0,0;0,0;0,0
;9. Sonstige Verbindlichkeiten;;6.297.709,3;7.517.881,1;5.778.897,3;2.066.455,9;0,0
;;davon mit einer RLZ < 1 Jahr;;0,0;0,0;0,0;0,0;0,0

;E. Rechnungsabgrenzungsposten;;1.118,8;5.552,1;8.870,5;19.650,4;0,0
;F. Passive latente Steuern;;0,0;0,0;0,0;0,0;0,0

;Verprobung Bilanz Aktiva/Passiva;;RICHTIG;RICHTIG;RICHTIG;RICHTIG;DATEN N.V.

3;G E W I N N -   U N D   V E R L U S T R E C H N U N G   (U K V)

;Umsatzerlöse;;0,0;0,0;0,0;0,0;0,0
-;Herstellungskosten;;0,0;0,0;0,0;0,0;0,0
=;Bruttoergebnis;;0,0;0,0;0,0;0,0;0,0
+;Sonstige betriebliche Erträge;;0,0;0,0;0,0;0,0;0,0
=;Rohergebnis;;0,0;0,0;0,0;0,0;0,0
-;Vertriebs- und Verwaltungskosten;;0,0;0,0;0,0;0,0;0,0
;;davon Vertriebskosten;;0,0;0,0;0,0;0,0;0,0
;;davon allgemeine Verwaltungskosten;;0,0;0,0;0,0;0,0;0,0
-;Forschungs- und Entwicklungskosten;;0,0;0,0;0,0;0,0;0,0
-;Sonstige betriebliche Aufwendungen;;0,0;0,0;0,0;0,0;0,0
=;Betriebsergebnis;;0,0;0,0;0,0;0,0;0,0
+/-;Beteiligungsergebnis;;0,0;0,0;0,0;0,0;0,0
+;Zinsen und ähnliche Erträge;;0,0;0,0;0,0;0,0;0,0
-;Zinsen und ähnliche Aufwendungen;;0,0;0,0;0,0;0,0;0,0
+/-;Übriges Finanzergebnis;;0,0;0,0;0,0;0,0;0,0
=;Finanzergebnis;;0,0;0,0;0,0;0,0;0,0
+/-;Steuern vom Einkommen und Ertrag;;0,0;0,0;0,0;0,0;0,0
;;davon latente Steuern;;0,0;0,0;0,0;0,0;0,0
;;davon laufende Steuern;;0,0;0,0;0,0;0,0;0,0
;;zur Berechnung der latenten Steuern verwendeter Steuersatz (Vorschlag: 39%);39,0%;39,0%;39,0%;39,0%;39,0%
-;Sonstige Steuern;;0,0;0,0;0,0;0,0;0,0
=;Jahresüberschuss/Jahresfehlbetrag;;0,0;0,0;0,0;0,0;0,0

;Angaben zum Materialaufwand:;;0,0;0,0;0,0;0,0;0,0
;;davon Aufwendungen für Roh-, Hilfs- und Betriebsstoffe;;0,0;0,0;0,0;0,0;0,0
;;davon Aufwendungen für bezogene Leistungen;;0,0;0,0;0,0;0,0;0,0

;Angaben zum Personalaufwand:;;0,0;0,0;0,0;0,0;0,0
;;davon Löhne und Gehälter;;0,0;0,0;0,0;0,0;0,0
;;davon soziale Abgaben und Aufwendungen für Unterstützung;;0,0;0,0;0,0;0,0;0,0

;Abschreibungen auf Anlagevermögen;;0,0;0,0;0,0;0,0;0,0

;Anzahl der Mitarbeiter im Jahresdurchschnitt (Vollzeitäquivalente);;0;0;0;0;0

4;G E W I N N -   U N D   V E R L U S T R E C H N U N G   (G K V)

;Umsatzerlöse;;70.682.283,1;78.697.703,0;59.441.552,4;52.194.416,8;0,0
+/-;Bestandsveränderung fertige und unfertige Erzeugnisse;;0,0;0,0;0,0;0,0;0,0
+;Andere aktivierte Eigenleistungen;;460.306,2;387.114,8;351.431,6;418.840,6;0,0
=;Gesamtleistung;;71.142.589,3;79.084.817,7;59.792.984,0;52.613.257,4;0,0
+;Sonstige betriebliche Erträge;;1.730.552,7;687.424,7;682.188,4;2.583.393,7;0,0
-;Materialaufwand;;37.691.914,3;47.143.464,1;32.850.390,9;27.873.266,8;0,0
;;davon Aufwendungen für Roh-, Hilfs- und Betriebsstoffe;;26.996.341,0;37.603.666,2;25.151.376,4;18.854.793,6;0,0
;;davon Aufwendungen für bezogene Leistungen;;10.695.573,3;9.539.797,9;7.699.014,4;9.018.473,2;0,0
=;Rohergebnis;;35.181.227,7;32.628.778,3;27.624.781,6;27.323.384,4;0,0
-;Personalaufwand;;11.670.610,6;10.484.635,6;10.076.937,7;10.055.884,7;0,0
;;davon Löhne und Gehälter;;9.204.691,3;8.385.893,6;7.926.925,3;7.891.626,9;0,0
;;davon soziale Abgaben und Aufwendungen für Unterstützung;;2.465.919,3;2.098.742,0;2.150.012,4;2.164.257,8;0,0
-;Abschreibungen;;6.108.518,8;6.226.509,9;5.863.963,2;5.710.849,6;0,0
-;Sonstige betriebliche Aufwendungen;;6.749.115,5;6.488.990,3;5.599.649,2;5.059.333,8;0,0
=;Betriebsergebnis;;10.652.982,8;9.428.642,6;6.084.231,5;6.497.316,3;0,0
+/-;Beteiligungsergebnis;;-1.711.370,2;-1.453.748,2;-1.453.472,3;-1.878.266,9;0,0
+;Zinsen und ähnliche Erträge;;245.534,7;167.608,6;2.259,6;1.806,5;0,0
-;Zinsen und ähnliche Aufwendungen;;1.165.836,3;776.437,2;516.137,4;537.553,0;0,0
+/-;Übriges Finanzergebnis;;0,0;0,0;0,0;0,0;0,0
=;Finanzergebnis;;-2.631.671,8;-2.062.576,9;-1.967.350,1;-2.414.013,4;0,0
+/-;Steuern vom Einkommen und Ertrag;;663.792,6;3.586.150,1;2.467.633,0;1.352.000,0;0,0
;;davon latente Steuern;;0,0;0,0;0,0;0,0;0,0
;;davon laufende Steuern;;0,0;0,0;0,0;0,0;0,0
;;zur Berechnung der latenten Steuern verwendeter Steuersatz (Vorschlag: 39%);39,0%;39,0%;39,0%;39,0%;0,0%
-;Sonstige Steuern;;149.543,3;137.690,5;104.425,3;55.275,6;0,0
=;Jahresüberschuss/Jahresfehlbetrag;;8.535.560,4;10.814.525,4;6.480.089,2;5.380.027,3;0,0

;Anzahl der Mitarbeiter im Jahresdurchschnitt (Vollzeitäquivalente);;0;0;0;0;0
